T1,T2
0.0,99.70331958789977
0.0,2.284395609713449
0.0,0.0032355496932884387
4637665036.492611,4637860526.210562
0.0,0.038013600877586214
0.0,894.4738942600319
0.0,10.408230713888525
35635401326.15196,35635549027.44467
0.0,34.10435583324028
45902.899604480735,129445.88653090036
0.0,0.013371432939200576
0.0,13403.850081713033
3521770.6759261466,3729764.700070553
0.0,6.169751217283868
5032811.380887899,5247628.480335331
0.0,2766.5876454027884
1197450.1894944923,1416858.4548261538
0.0,21.90162424864803
39006.65022243268,41978.727733862215
0.0,4.866607201061361
0.0,0.049962603529657215
0.0,625.8125036575228
0.0,70669.96387545469
0.0,1666.7122116037735
0.0,168.75478065493974
0.0,1086.134362779446
0.0,27311.536299614185
22350094.885669675,22509764.94967826
0.0,31.804675612309044
332766.60652721644,386256.559470991
0.0,6462.16436441183
0.0,5.106713421199556
0.0,0.007802023731630902
0.0,0.01375904976860495
0.0,1111.648389961157
0.0,221.7063470745255
0.0,5.785453217581023
0.0,6561.139028832725
0.0,396.9743521162411
5346413468.709768,5346622892.60626
14713504.03456313,14986379.827488609
44.039973727301174,606.484233901178
701027.825534741,855449.8264559841
7063471.623844841,7241819.568625827
0.0,4952.731946108661
0.0,458.0783685501893
9935697.423858233,10155787.576926561
0.0,5.854868837572532
211604.43412896982,328432.86707992776
82288661.4100803,82508964.60442065
0.0,2404.1445154926914
38267.57158510819,46033.38688918359
0.0,3192.529673581333
180226.9741294293,254422.5643611031
35739577.81436315,35959719.48100744
0.0,55.542241827229745
29710637.63113975,29931070.51152108
0.0,1866.0947568082536
0.0,1436.0018019092588
0.0,121.95750884683953
0.0,30636.499047947134
0.0,190040.65776358906
0.0018879761655453602,0.010028014602009349
0.0,1454.3579177103245
0.0,81.19059244003196
1512460.8484182705,1665409.9435626161
0.0,18.59643136261249
2035651.1925987292,2184268.593181292
7709073.000864613,7862156.034055055
326860490.584302,327068038.40622944
64761149.04185939,64952824.86584653
0.0,1.3393458082163807
2965826.5284000714,3118859.8324939637
1317048.8133351365,1526000.0518909278
0.0,1190.7610391091373
0.0,0.06569990665292445
0.0,404.65924777682585
328.5294709812252,1062.46760118896
0.0,1684.9848603909927
0.0,88.08696070258586
0.0,311.2652382081638
0.0,2.9949208250782604
692783.271005039,779357.3886836112
0.0,1560.5737829588556
37631966.92206039,37778512.554084554
276447606.3146477,276602479.7677186
0.0,49.609866501835384
9998.147508106465,21259.14738039167
17006040.993119013,17213710.90819944
0.0,70.54531701533918
86350.44007506895,91613.26513944876
520644.31945709523,669863.8441854701
0.0,3520.689854142761
0.0,0.3302421179225855
1101674757.0634916,1101895102.3310862
0.0,0.22760013252141195
0.0,1526.8672926788408
0.0,174.62900194268488
2016401.8328290593,2144093.4721362772
0.0,773.6716510455788
93904.05884706363,175146.77102137735
0.0,275.44416728508594
3387519749.4769783,3387790787.736924
0.0,0.17107136042749932
64762.18303229803,71017.7824130966
0.0,0.15173021831684946
0.0,15.63862888726826
0.0,137.73430081716748
0.0,640.0588195073634
0.0,0.09779049515307438
51472299.46462806,51674070.62585321
0.0,360.5973058460584
17588559.93690696,17807690.697404735
504670.60275743494,558570.2086718582
0.0,0.9894710976414431
0.0,975.3581904275975
10490732.129169237,10675268.350692792
0.0,175.17298683667212
0.0,1.0054019749202185
0.0,9913.59530051422
237851.4604741053,409592.33068507805
0.0,12366.629716069609
1008403.5312468427,1167250.6349919164
0.0,1506.083849604046
51902090.16831607,52085924.55556489
0.0,567.2991917522187
0.0,31271.592256131255
0.0,4.646584117785449
37646.39211952642,143892.65183339152
0.0,24.51647367790336
15780552.669287473,15947895.791024609
18914700.48025295,19110755.961672954
0.0,2.5558371281100665
100.96191821439551,186.0077872098279
0.0,359.5742035383636
0.0,353.6146453656218
4201.654782343369,7968.887288339689
0.0,120.09815298422927
0.0,0.6166019527184947
7171.597429570003,10174.989006918795
0.0,1435.779058896111
16284077.708339034,16520781.200403605
0.0,26.429495289092436
0.0,15.684516518571094
4984.865681616795,6420.375492279787
0.0,0.0013827150902057934
1243.7920390866377,31845.561988016274
107201.97884494565,118641.26288074696
921.6203949851853,4167.202081840794
0.0,973.2199132983014
3208465131.061125,3208644818.9443727
339763087.33953655,339940761.15863335
127005308.16764255,127207604.68138564
0.0,5528.059929109799
2888297.09154546,3083006.3928919337
0.0,0.15300179503524644
297.61956551885766,1497.5678534211663
56507601.64738821,56692770.636401445
681109.3693047671,819508.962375958
0.0,26.802459104383736
0.0,3745.209378178615
0.0,5809.776359276204
125096.62301073772,223583.486644709
26136971.6505718,26307399.026573554
0.0,3057.038464201638
0.0,10133.256503209048
0.0,3.1693756429354885
0.0,0.48020168716005557
0.0,0.009301496848497003
44609.905839362196,116192.7133366447
0.0,9163.602702053857
2127829580.5568461,2127974804.9946299
140053.00978346853,229764.44453957464
0.0,0.00045867136087792554
0.0,0.7199240091185207
4851.118917846883,13559.153677081986
0.0,211.77270689086478
0.0,0.43625454511808814
6257.110313845039,34699.999373936254
0.0,1121.665856785783
0.0,4176.469014250075
49067123.7384325,49176436.68017777
6378486.890695419,6551129.978632236
18396.27418537381,34259.12573072893
0.0,166.72561926714368
17771374.68756556,17944325.18948277
0.0,4196.564715510428
0.0,3652.5747528478605
11.423208761056749,24.365878242984827
65827077693.017136,65827192814.57512
0.0,0.8417709620579524
3618301.6808008193,3852928.8449023846
0.0,0.004032150064620503
0.0,9024.868860911496
2141.302111592266,12441.76601914205
0.0,2.3615039390362176
44.21259008436217,226.2811526702335
0.0,5132.50632251315
0.0,273.7204178018278
