Initial Position (R),Initial Angle (Phi),Birth Time (t_birth),First Visible (t1),Last Visible (t2),Semi-major at present (a),Ecc at present (e),Period at present (P)
5826.784392898513,4.946373255876764,-9406.753179289559,-9406.753179289559,3997.096902423473,5.497312880699281,0.4780528472625172,65306.361147192496
5702.829887024622,0.16027332988872006,-6148.652799465407,-6148.652799465407,64521.31107598928,11.409675955318571,0.34380081485729524,178260.3252509386
6058.327367187462,0.03511861859392168,-2139.4428010625456,-2139.4428010625456,25172.09349855164,10.205344752222361,0.6712353557165406,182785.37022931155
3629.082181357694,2.670080800646096,-3203.1698475246294,-3203.1698475246294,3258.9945168872,4.5167631038014555,0.3183671758615627,49195.099413691925
12939.635625216331,1.3772392839367051,-430.78034971007816,-430.78034971007816,27.298018840111126,1.4199396170316414,0.2886572382861315,8301.243434230348
3029.062144369337,5.329548105137765,-983.1884928017298,-983.1884928017298,2209.3411807796033,5.118589926784387,0.5294650189413908,57647.21122153308
10292.417473380176,3.246462691915369,-475.6734905283666,-475.6734905283666,1390.421266279887,2.9095341333369826,0.1899736332298778,28626.36179122603
6526.097910333026,0.3572919913843882,-3941.9540839782385,-3941.9540839782385,26694.544963968896,9.62358711311554,0.6014412354195088,161399.99149985905
5595.074742536791,0.915350271749256,-2815.127612967886,-2815.127612967886,187225.53015062117,11.39417868437237,0.07642311276360733,197792.39355015053
3471.5535808912773,2.204431362675652,-1411.7692101139157,-1411.7692101139157,42.58870759640877,1.3737903038406676,0.04443036259156974,8262.529119356035
7755.572763406212,2.876595232363396,-463.6536540552849,-463.6536540552849,1221.3312063357077,4.426409902531515,0.5012818810595768,45193.96583305233
1359.583536858208,1.5813084874132832,-521.241126423052,-521.241126423052,454.11706400454557,2.566813999345534,0.3201070569591754,22182.27843384623
12676.464113896578,2.242173404662859,-1630.9043886162533,-1630.9043886162533,8282.690911897967,5.394697995401928,0.4659210666563964,72993.14065181398
3242.0677632568922,1.6036930417113902,-7990.030557652219,-7990.030557652219,4376.599158417388,4.018555307019526,0.3066499581556678,47091.02107841639
4317.109011941464,2.3345216376520677,-850.5720532129246,-850.5720532129246,30421.020202918327,10.471957910137366,0.5718674813434433,170527.78685368295
2921.7458029615373,1.4431926061419225,-7980.378360167002,-6736.5863210803645,23865.18362784927,9.589134880376548,0.6204222302577148,161310.4159963681
544.3261973711553,4.288824761681121,-1717.4826557557765,-1717.4826557557765,4092.2937035204277,6.002785820767252,0.5308385626468443,73743.29469014602
7135.527091768832,4.40827261283296,-8247.521711545172,-8247.521711545172,1885.7347916638755,3.8575408650334784,0.24591747730616118,38504.31123675242
6860.06882986945,2.153177442289086,-360.46510996176283,-360.46510996176283,3816.0039042883122,8.585123229806417,0.7117833417851617,121973.84251956454
4978.007792919897,2.103710165066003,-1070.8601857255717,-1070.8601857255717,3125.7045297848563,6.246904928042293,0.49228105616693935,71115.68850603544
4107.978432812828,2.0224248048540656,-7571.1610428052145,-7571.1610428052145,1453.7078181062816,3.0857257418797217,0.19120567428688715,30261.838652677023
9091.02592295332,4.017992289668649,-2132.7721742463177,-2132.7721742463177,2999.734148266832,5.142037174357122,0.47301133221815816,58864.18135796471
7708.4767559704715,0.6318110122330975,-5709.838834782331,-5709.838834782331,1196.8649590941232,3.7072899442009586,0.3648089184476641,35899.341084610074
4685.355827296592,1.1250538503149847,-1747.9215467388954,-1747.9215467388954,2561.9900147995454,4.230229734503422,0.3414468918455798,45185.36458607411
5541.069639500032,2.250741495897764,-910.6881638777343,-910.6881638777343,141276.98203405863,10.658596165165273,0.2933031974890632,188766.66756870688
7651.6646127453905,0.09433164644077231,-5134.751127617332,-5134.751127617332,8462.105712016148,5.341998642777389,0.2133383105522062,64067.040887638745
10149.634631083547,0.915863029069157,-344.16433454715565,-344.16433454715565,1354.2225018401807,3.718424044388628,0.3455712949790409,36438.89324275909
8055.220277254482,6.180875318387524,-337.6582161473007,-337.6582161473007,2312.360486176707,4.845487859134573,0.5661640421458634,58378.37680892562
8271.029531150336,1.499824668917058,-4182.964495339876,-4182.964495339876,9217.036823819897,5.507557128311105,0.2290883189119465,67022.53653773514
4610.014572003005,1.3694461264507567,-991.3478629581684,-991.3478629581684,14847.325469727348,9.650310547247784,0.6184413548347683,147223.5839797911
2889.3600049069987,4.280318014669908,-1641.2142577582379,-1641.2142577582379,5265.629747466311,3.8687508760699023,0.0669489765421637,44460.587658353026
12514.81248532325,5.8068977521453915,-678.8718371716863,-678.8718371716863,99.83952275892591,1.9564278419313763,0.25972062041820676,13349.848192893287
7778.508547050527,2.431058625621517,-4050.8821386362392,-3262.684055611919,11323.733040429202,9.84584910181388,0.6799286549215108,156058.4046169497
1119.6836189536023,5.393831733042782,-4213.0269080474445,-4213.0269080474445,7610.177010503112,5.718297093335669,0.2879180164101021,68157.88428006187
1279.0674110276539,5.634876428934813,-5805.590997920221,-5805.590997920221,5539.876749380368,4.815031378934549,0.2236631174372351,54948.74796492473
2678.44087231698,5.330348264198912,-9788.338607939933,-9788.338607939933,1066.3994737587182,3.665673035840436,0.36660362262492024,35093.00653711964
4705.511420165327,4.516928191847739,-1239.0931617283263,-1239.0931617283263,2852.5066097502627,4.714480720922332,0.3863059875233398,51404.041677545625
2485.9544154721066,4.227053493915727,-9407.568070026016,-9407.568070026016,17894.765828576703,8.222111962162495,0.5453401919127283,125062.70866270775
2068.0543885364286,5.721507097599535,-2719.898580326351,-2719.898580326351,8219.114063096717,8.35050580652386,0.7189550146145027,138394.39978994057
