Initial Position (R),Initial Angle (Phi),Birth Time (t_birth),First Visible (t1),Last Visible (t2),Period at present (P)
15249.15889600892,3.99346829210739,-2055.965610094803,-2055.965610094803,11347.884471618228,141590.73985980064
5742.903304165063,4.544389512029568,-7848.266925313407,-7848.266925313407,62821.69695014128,175995.23885145798
9260.0817999609,1.1780072499181153,-1159.4885116444752,-1159.4885116444752,507.2236999592983,27558.35830717948
6860.417639848007,6.270603253261545,-191.82815504719676,-191.82815504719676,894.3062077322493,27843.354622831524
6085.66615993953,1.7792926376966836,-5866.987083461038,-5866.987083461038,21444.549216153147,158568.48680296502
224.74112559170672,0.7937204714000109,-3013.209731570333,-3013.209731570333,1939.5222145383277,47573.645662830946
8540.777648492262,6.227748337808917,-417.3026681569347,-417.3026681569347,2775.227005424398,67917.20519562377
3422.483146980203,0.06970914376995199,-9064.074477051989,-9064.074477051989,21572.424570895146,137201.01958476467
9790.278201561083,4.074532903997736,-918.5116712589736,-918.5116712589736,189122.14609233008,198687.4608102517
6605.477638111905,3.248592909626948,-1321.7781775134995,-1321.7781775134995,2198.911676629262,47398.903317028555
5074.790801107129,5.023221577951088,-1567.572391282579,-1567.572391282579,8346.02290923164,73323.28052823612
2528.6444859446847,4.452434729965,-6744.823816984603,-6744.823816984603,5621.805899085004,53194.16424873269
3599.284735622188,4.63684810869843,-1130.412235812145,-1130.412235812145,30141.180020319105,169377.4935967999
12417.058363582797,2.9746149351448588,-6539.626952510496,-2337.972170167127,1429.2603358291926,72857.54020951725
863.5451207659129,2.5931760735333653,-3992.5547923580784,-2748.762753271441,27853.007195658196,183722.57339360236
8339.502377513405,6.075290779089994,-2830.140620289099,-2830.140620289099,2697.9193088207,75007.65275928142
1949.0983380187051,3.9711403459513903,-1117.331460540859,-1117.331460540859,4692.444898735344,81256.06330685283
3606.3079020571254,5.734348363240937,-6773.67967238995,-6773.67967238995,3359.576830819098,50140.69199810256
1847.599650668726,3.369388266415335,-3020.575623538976,-3020.575623538976,6143.0270785148805,51905.977642549165
1626.6425321971035,0.960595330820068,-6112.48393051496,-1261.3650126680768,7446.669746567026,167505.70708884858
2820.332194219765,1.0384920125737147,-1241.151061400203,-1241.151061400203,2935.317952849872,95169.07819006106
1687.7795974588198,2.5264893134592747,-852.4357565246721,-852.4357565246721,2800.1389963231886,78512.36472627964
10207.580738186436,1.4069185765168204,-9578.321706287279,-7437.019594695013,2863.444312854772,62200.23308132718
6590.142614002563,4.819164430496248,-4103.541299784575,-4103.541299784575,1028.9650227285747,32664.089412937887
6274.649195370245,3.0730191444259063,-86.2802849399591,-86.2802849399591,4223.631276598481,58882.78751034292
5909.245341629353,1.5513791079650299,-2464.156605950255,-2464.156605950255,139723.5135919861,187775.22367316365
