Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
2.946,0.3457,2.1303,1.3791,-34.5028,-10.1108,13.4023
8.549,0.6063,2.8163,1.6643,30.0894,-15.928,-61.8793
7.59,0.5416,2.7544,1.6977,91.8864,-111.7363,-26.8856
5.02,0.3279,2.5516,1.5668,-82.045,-149.3338,-67.845
7.598,0.5111,2.7062,1.5115,57.2429,-30.6721,15.4347
5.989,0.5198,1.6121,1.3126,-2.8172,30.8586,43.2809
4.626,0.1519,1.6279,1.3178,-26.8087,48.087,-54.1287
6.778,0.5288,2.9415,1.3301,38.9652,-9.8149,-11.2689
5.266,0.817,2.1951,1.3636,241.7883,138.4059,-38.141
5.539,0.4022,2.9251,1.6034,-15.3537,70.8435,-72.3103
3.588,0.3567,2.0114,1.3795,-109.8013,-4.6452,-9.0377
10.04,0.5308,2.4457,1.7432,-84.8982,206.3311,-0.6183
10.81,0.5447,2.5937,1.7543,-127.7626,-45.4189,60.4342
10.95,0.2779,2.5349,1.6847,28.5942,-86.3306,74.9404
12.45,0.73,2.695,1.5364,-11.8495,-39.4638,36.5999
5.966,0.0728,2.298,1.4303,-70.0148,-22.8006,-17.7664
9.377,0.6651,2.5371,1.3776,25.5665,-27.8045,-45.6629
6.872999999999999,0.14,2.6879,1.6834,42.3603,88.4592,99.9668
9.993,0.7904,2.0346,1.3734,37.9021,-152.3439,450.3023
4.119,0.3845,1.8306,1.3715,-55.9005,76.0873,61.8938
11.2,0.648,2.7264,1.6529,-94.9849,41.3231,77.6319
11.53,0.778,1.6499,1.3238,151.043,156.2382,4.9601
4.681,0.2483,2.4896,1.4606,-67.9894,28.3336,63.6188
17.85,0.8551,2.0564,1.7898,-95.7619,43.719,123.9545
3.665,0.0487,1.5982,1.5578,-7.7793,111.049,29.3087
9.901,0.7685,1.8022,1.3815,71.7706,36.3315,58.0571
11.52,0.1659,2.2838,1.6411,143.4917,100.4858,113.1054
10.27,0.2804,2.1419,1.5315,-64.7727,-81.6573,61.4101
7.644,0.4838,2.4704,1.4443,13.014,24.8289,-38.2474
6.016,0.4158,2.3735,1.4194,98.8651,-94.0624,-348.0969
12.01,0.5245,2.335,1.6905,106.7494,26.0541,-80.3614
6.8420000000000005,0.5476,1.572,1.3073,0.0123,36.3266,35.5306
10.18,0.6994,2.4989,1.5825,24.7326,86.6706,-169.2617
10.79,0.2675,2.1276,1.4467,44.3919,80.0011,64.9745
9.985,0.6173,2.8764,1.671,-17.3569,56.0658,-31.0888
5.42,0.5484,2.6158,1.5512,52.4025,76.4774,55.7891
1.839,0.5977,2.8594,1.6303,204.2742,-194.5006,-196.4996
7.606,0.3942,2.4607,1.4448,-29.8783,-8.8313,-54.3032
8.333,0.5297,1.6881,1.3559,39.7861,-7.2237,-82.1485
6.3629999999999995,0.2535,2.2401,1.4468,-49.2871,56.7549,14.9153
11.94,0.8241,2.5538,1.4404,-391.3973,61.4063,-23.3811
14.74,0.804,2.6611,1.5145,-11.9239,-7.3362,49.8178
