Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
10.95,0.2779,2.5349,1.6847,28.5942,-86.3306,74.9404
12.45,0.73,2.695,1.5364,-11.8495,-39.4638,36.5999
5.966,0.0728,2.298,1.4303,-70.0148,-22.8006,-17.7664
9.377,0.6651,2.5371,1.3776,25.5665,-27.8045,-45.6629
13.48,0.802,1.9322,1.4675,24.7214,-71.9393,-88.0056
6.872999999999999,0.14,2.6879,1.6834,42.3603,88.4592,99.9668
11.2,0.648,2.7264,1.6529,-94.9849,41.3231,77.6319
11.53,0.778,1.6499,1.3238,151.043,156.2382,4.9601
4.681,0.2483,2.4896,1.4606,-67.9894,28.3336,63.6188
3.707,0.439,2.349,1.3514,8.9316,2.322,24.1971
17.85,0.8551,2.0564,1.7898,-95.7619,43.719,123.9545
11.52,0.1659,2.2838,1.6411,143.4917,100.4858,113.1054
10.27,0.2804,2.1419,1.5315,-64.7727,-81.6573,61.4101
7.644,0.4838,2.4704,1.4443,13.014,24.8289,-38.2474
6.016,0.4158,2.3735,1.4194,98.8651,-94.0624,-348.0969
12.01,0.5245,2.335,1.6905,106.7494,26.0541,-80.3614
6.8420000000000005,0.5476,1.572,1.3073,0.0123,36.3266,35.5306
10.18,0.6994,2.4989,1.5825,24.7326,86.6706,-169.2617
4.843999999999999,0.1188,2.9278,1.3888,-25.6909,40.786,-38.6063
13.98,0.7928,1.9862,1.3781,-1.9082,-5.6999,-16.8315
10.79,0.2675,2.1276,1.4467,44.3919,80.0011,64.9745
9.985,0.6173,2.8764,1.671,-17.3569,56.0658,-31.0888
7.606,0.3942,2.4607,1.4448,-29.8783,-8.8313,-54.3032
8.333,0.5297,1.6881,1.3559,39.7861,-7.2237,-82.1485
6.978,0.5138,2.7025,1.6967,-43.9081,-176.9348,-41.9304
6.3629999999999995,0.2535,2.2401,1.4468,-49.2871,56.7549,14.9153
14.74,0.804,2.6611,1.5145,-11.9239,-7.3362,49.8178
39.16,0.9445,2.8072,1.4851,116.6701,-73.6099,40.3996
11.22,0.4502,2.3183,1.5199,46.4938,-80.7611,-35.5331
5.563,0.3863,1.7901,1.385,6.6315,-22.7155,111.763
6.8229999999999995,0.6034,2.5307,1.439,-46.0101,-29.9498,0.8386
2.594,0.1563,2.6232,1.4372,61.8458,49.3019,-10.4094
5.184,0.0914,2.3666,1.4466,-9.9091,87.1143,62.4866
10.49,0.326,2.2893,1.5356,-101.0792,66.7067,23.0134
4.382,0.4606,2.0799,1.3699,-14.4653,27.9217,-8.3929
12.11,0.3737,2.8988,2.0186,-129.9386,-72.1979,13.5573
14.28,0.8148,2.537,1.4393,-129.7785,50.6081,-368.0389
5.93,0.3246,2.3872,1.4444,3.6712,-54.4395,-58.2063
11.37,0.649,2.5617,1.568,-32.37,30.0716,39.3842
6.67,0.6674,2.0,1.3697,-5.4356,-45.4251,-20.1907
6.523,0.4306,2.9999,1.7522,13.4538,-116.4127,134.3309
6.587000000000001,0.1928,2.2439,1.4457,-9.5043,49.0356,-36.9269
8.521,0.4921,2.1446,1.4472,31.4715,-104.5269,-36.0897
15.76,0.7824,2.7393,1.6469,0.836,56.8549,-36.7356
10.07,0.748,2.4148,1.4399,140.6764,-105.5221,11.0808
2.918,0.1688,2.3949,1.3359,-13.8889,43.6309,-17.6726
5.667000000000001,0.3138,2.6579,1.6966,122.8717,112.7049,21.6739
6.795,0.215,2.4455,1.4531,-33.3845,28.5817,69.1015
5.122999999999999,0.4205,2.5192,1.4402,-8.7448,2.9359,87.1354
5.224,0.4268,1.6595,1.3349,-3.4727,109.202,44.2007
10.76,0.5341,2.3131,1.5602,57.2676,-70.7591,51.7828
4.796,0.249,1.6243,1.3126,42.128,3.4568,1.8027
4.9030000000000005,0.325,2.555,1.4526,77.8204,4.3923,-20.7543
6.482,0.3876,2.6147,1.6775,17.7802,-7.3624,-157.9629
6.565,0.5708,2.9,1.6496,-22.4064,-2.1094,69.4214
10.32,0.4995,2.8186,1.8332,-71.9405,64.4609,-117.4039
6.6979999999999995,0.776,2.7435,1.4319,8.1231,-11.5846,-62.3703
5.391,0.3409,2.4763,1.4425,-13.988,-3.9078,61.748
14.7,0.7909,2.4393,1.3675,10.3906,-21.8734,-1.7988
6.234,0.5927,2.8442,1.5385,8.9848,-96.8015,-15.5787
6.651,0.3659,2.43,1.4294,28.9311,19.3569,-17.3183
