#a/Rsun e m1/Msun m2/Msun vx/kms vy/kms vz/kms
0.04587 0.1503 1.3381 1.3300 35.7600 463.4074 222.5813
0.4448 0.0453 2.4434 1.3644 -66.3590 97.1999 -49.0162
3.307 0.3393 2.0331 1.3805 -8.5736 41.0190 -37.8459
30.08 0.9522 2.3898 1.3007 26.7082 59.9709 -10.7285
56.92 0.7935 1.8522 1.7807 57.1577 -68.5085 72.0423
10.96 0.3317 2.2999 1.5009 -70.6228 56.5818 53.1748
15.84 0.8240 2.0367 1.5132 -46.0224 89.8959 40.9483
303 0.7697 2.3355 1.5806 70.4901 21.5994 3.2204
57.35 0.6477 1.9065 1.4213 19.4657 56.1621 21.2685
2.444 0.1504 2.6372 1.4372 -91.7980 -48.6095 12.4581
3.702 0.2616 2.8640 1.3820 9.4464 80.0728 28.1678
78.99 0.7597 2.1347 1.7201 -39.2597 11.4734 -86.5667
3.644 0.9345 2.5208 1.7563 14.3942 -257.4076 89.9031
2.99 0.2704 1.9834 1.3684 6.0501 24.4658 -21.6361
5.278 0.5848 2.0205 1.3691 -38.6297 60.2508 -40.4948
17.52 0.7629 2.9642 1.7598 -3.7308 44.0958 130.3333
447.5 0.7955 1.8141 1.7123 -6.3175 -52.2067 40.5073
0.2407 0.2924 2.8190 1.3061 -193.5748 -41.7503 -191.0858
355.6 0.9858 1.6120 1.3265 65.3224 -84.5135 67.0360
121.5 0.7358 2.0835 1.7214 -5.2870 45.7201 -10.8647
0.7306 0.7727 2.5903 1.4310 -258.6855 -2.2783 -29.4016
0.3116 0.3331 2.8854 1.3273 -150.6882 211.2309 37.3435
1.592 0.4464 2.0633 1.3795 -12.9260 -15.4123 -125.7110
2.257 0.5500 2.4377 1.4258 289.6409 -147.7424 139.9812
0.4708 0.5950 1.3202 1.3091 105.2976 -647.3026 185.3078
0.2244 0.3645 1.3979 1.3837 -398.0456 361.3864 -27.5271
8.745 0.4867 2.4852 1.6171 121.2565 -30.9220 0.1561
44.91 0.0557 2.7924 1.7854 -41.1904 59.6750 -36.9249
22.61 0.3408 2.0625 1.5926 41.5263 101.2231 -4.3692
67.3 0.3531 1.8588 1.8149 -32.7457 14.0687 -47.2615
3.943 0.1276 2.6818 1.5269 22.0644 -84.9585 -28.7957
84.93 0.6329 2.3033 1.6527 -16.3216 -27.4862 36.8779
77.61 0.8050 1.7856 1.6305 69.4545 25.1220 -1.6018
25.03 0.5329 2.2157 1.7023 -52.9437 15.9988 -65.3984
2.354 0.1509 2.0367 1.3799 -4.9160 62.1850 45.9230
10.99 0.6091 2.5638 1.4679 30.0411 -58.6637 -4.7703
0.756 0.6370 2.5250 1.3021 -7.5064 195.0847 -308.0948
6.894 0.3902 2.6790 1.5253 53.5202 -16.7602 -12.9012
13.68 0.2959 2.3792 1.6893 5.5201 -11.0958 -125.7953
1.893 0.1599 2.5125 1.4354 76.8159 99.5651 -41.2517
3.661 0.3550 2.1417 1.3738 23.9073 40.2494 22.3411
1.605 0.6367 2.6274 1.4360 -0.5784 380.8071 -271.2128
3.832 0.9157 2.8429 1.3330 59.5212 -269.6302 -134.6345
114.6 0.8050 2.0323 1.4928 54.7688 1.6079 30.5102
9.871 0.8091 1.7638 1.3691 52.7384 -28.1508 -28.4305
5.733 0.2895 2.2977 1.5006 131.9565 -239.7722 16.0045
2.382 0.2497 1.6478 1.3201 -87.3706 98.4263 -4.3491
56.2 0.2990 2.7823 1.8893 61.8338 -7.5982 43.4850
2.347 0.0656 1.9837 1.3695 0.2852 38.7249 52.9643
4.767 0.1936 1.7576 1.3770 -181.0519 142.0743 -162.0353
53.74 0.5901 2.3127 1.6310 -52.9375 -53.2509 -53.2787
1.18 0.1280 1.8353 1.4190 -25.1775 147.4690 -20.5707
1.584 0.1634 1.9986 1.4555 344.0788 255.9252 17.5644
0.7692 0.6345 1.3125 1.3030 -703.1868 477.4676 -491.5630
29.66 0.5421 1.9203 1.4381 -91.6961 -2.2849 74.4684
0.4167 0.0729 2.4105 1.3595 93.8975 -46.5507 70.1004
36.87 0.9812 2.6768 1.3323 -95.3201 6.1985 17.4256
46.14 0.8293 1.6566 1.4276 96.4159 -4.7440 -169.5710
1.011 0.8703 1.6053 1.3003 73.7296 110.5499 -49.2435
23.64 0.6882 2.6246 1.7483 87.8856 10.8982 -47.7819
33.37 0.3576 2.0931 1.5487 55.6212 12.5494 -39.3451
3.936 0.2493 2.5466 1.4416 60.9303 47.3803 23.1575
1.296 0.0293 2.7725 1.4304 -3.1736 96.1211 93.7526
4.723 0.3233 2.2180 1.3794 60.7019 23.2180 -37.1152
16.24 0.8960 1.4538 1.4196 -60.5907 -128.9788 21.4864
3.335 0.8158 2.5915 1.6131 -178.8261 203.4550 233.2768
77.66 0.8598 1.9255 1.9269 -28.8155 47.1465 47.2132
3.664 0.1291 2.8676 1.3052 -5.5378 -1.4544 -45.6450
2.565 0.1683 1.9973 1.3695 -25.8167 44.4699 31.9066
15.77 0.8819 2.1543 1.5623 -122.2029 34.6431 -40.7965
9.542 0.3336 2.7940 1.6809 -215.1241 295.9845 132.3818
6.32 0.2078 2.3727 1.4349 -75.1959 -3.5902 -18.7158
5.354 0.8452 1.9733 1.4237 86.2461 -190.9583 -4.7033
36.27 0.6258 2.0825 1.5916 28.6030 -29.7344 71.0576
2.497 0.2923 1.9875 1.3735 -24.3286 -29.1950 95.5309
0.8719 0.0855 2.2274 1.3727 73.8578 -67.7910 -90.7273
125 0.6030 1.7668 1.4560 21.7796 -65.1162 -56.5234
105.1 0.7740 2.0796 1.7413 28.0408 0.7371 67.5132
76.1 0.6640 1.9765 1.5250 -55.9133 -22.8721 56.7691
24.81 0.3404 1.9899 1.5165 24.1127 -42.5411 -60.9289
14.99 0.8139 2.6105 1.4819 12.8553 5.0448 -49.6616
124.5 0.7698 2.3354 1.6252 -3.6345 -58.1600 29.4686
5.102 0.9217 2.2576 1.4208 113.4253 231.0390 -71.4865
0.4578 0.4242 1.6268 1.3675 44.7807 220.9575 107.6155
3.582 0.0737 2.6368 1.5693 -24.3457 4.3923 -107.1875
346.2 0.5053 1.7936 2.0917 -14.9271 56.0131 65.0219
0.2462 0.1197 2.5828 1.3455 -168.7205 121.6868 178.4416
4.547 0.2066 2.7020 1.4332 -55.2303 21.1484 50.3237
3.304 0.0419 1.5721 1.3060 23.5671 -7.3113 35.0364
41.58 0.7411 1.8385 1.7123 -2.3359 42.2777 -62.8495
42.29 0.3569 2.0227 1.5584 10.1702 29.8158 -35.9626
10.45 0.8611 1.9819 1.4445 -4.1159 109.4901 -58.6506
48.25 0.3568 2.0995 1.6581 -7.3063 -0.6643 -53.6070
2.683 0.3580 2.6954 1.4561 -36.9156 59.6346 -68.2189
2.355 0.7111 1.3212 1.3188 -67.6032 81.6759 96.2891
20.31 0.5263 2.2251 1.6976 41.6913 -69.5930 -62.2163
1.367 0.5117 2.5432 1.3396 131.6410 324.7769 51.5564
10.21 0.5159 2.2663 1.4340 32.4153 -19.8868 14.8490
9.132 0.9195 2.8036 1.4584 413.1575 33.5746 -13.0365
96.03 0.8298 2.3055 1.5905 -3.0240 105.3272 33.1631
0.3464 0.1351 2.9379 1.3188 68.5436 -74.6834 -33.5094
0.9312 0.0945 2.2049 1.3745 107.4311 -3.0119 -9.9414
0.4515 0.8031 2.5431 1.3018 1.3610 -285.1541 -178.1931
34.24 0.2155 2.4720 1.8480 90.5563 18.6764 -6.2177
2.562 0.3134 2.4118 1.3449 61.0184 53.6868 6.0325
252.5 0.9156 1.9436 1.4325 8.6694 -7.0993 57.8462
25.26 0.2296 1.9673 1.5231 -5.4362 -52.0884 40.5034
109 0.8306 1.8327 1.9129 11.5075 -55.3153 26.7046
2198 0.9983 1.7584 1.5203 65.3908 35.1343 68.0329
96.27 0.6669 2.7759 1.8441 34.6921 -42.1472 62.0818
8.503 0.5416 2.8229 1.6755 -67.7386 127.7083 29.1923
2.237 0.2734 2.5348 1.4088 -38.2700 17.5574 -50.2829
1.538 0.8427 2.2723 1.3631 260.9722 176.5270 -233.1288
5.485 0.6497 2.0242 1.3773 48.0615 -32.0557 -78.0635
16.45 0.8371 1.9530 1.4639 -121.9942 -47.8760 -32.9843
1.148 0.1724 1.6211 1.3006 29.9644 40.0964 2.8070
0.2364 0.1503 1.5742 1.3163 -37.7491 -156.3544 -26.5640
1.298 0.5870 2.6987 1.4330 -146.7880 -122.8741 -270.5099
30.3 0.7322 2.0324 1.4451 87.5611 -23.2842 97.2825
72.77 0.8652 1.9578 1.4435 27.2616 95.9278 -89.3361
193.9 0.8041 1.8193 1.5188 -54.9140 -104.1588 71.9520
100.8 0.8954 2.0820 1.6168 -105.2037 -73.6527 -57.8284
3.01 0.2150 2.5328 1.4416 -76.1702 52.7010 -63.3343
44.83 0.8818 2.8817 1.6808 -31.2088 -186.4152 6.4208
3.921 0.4531 2.4670 1.4377 43.3295 5.3048 42.4771
24.69 0.4894 1.9122 1.4383 5.7846 37.2576 -65.3301
342.9 0.7999 2.5242 1.7494 48.8562 9.6388 -0.6755
31.76 0.4945 2.4870 1.9336 55.2149 68.5114 35.7133
87.7 0.6275 2.3862 1.6790 44.3654 -18.6887 51.4002
20.65 0.1680 1.9350 1.4172 0.5932 -6.4049 58.8781
7.857 0.8504 2.6579 1.4738 -223.7614 194.1935 -111.0040
1.432 0.0640 2.5543 1.4333 27.8655 111.1727 -33.8068
2.528 0.3497 1.6326 1.3049 -0.2580 -95.8340 82.5110
0.8398 0.1118 2.6774 1.3927 98.6641 -29.1214 5.9197
0.2228 0.4082 2.6744 1.3229 74.6041 196.0677 -91.4712
1.218 0.9047 2.0277 1.3770 -69.9334 92.3329 -182.9638
12.16 0.9514 1.9283 1.4231 0.2551 120.0544 -16.3931
217.5 0.8994 1.9113 1.4327 -34.4227 -41.9424 19.5666
69.16 0.9121 1.8220 1.9481 1.7184 17.2509 -71.3061
112.7 0.8957 2.2960 1.5453 -16.4002 -38.6761 -85.0748
1017 0.9461 1.9254 1.9297 23.6770 -74.1028 4.0901
0.169 0.0877 1.9367 1.5389 -457.2836 -187.2325 -80.1412
32.84 0.2146 2.0000 1.5369 38.7875 -27.7443 50.2919
2.022 0.5663 2.6191 1.4359 142.6046 -67.7600 109.6775
1.377 0.2223 1.3773 1.3712 82.2406 -2.8533 13.6398
0.4792 0.5309 2.6168 1.3050 -25.3531 159.1779 180.5586
2.843 0.5131 2.7543 1.4353 95.2232 4.8613 12.0873
5.389 0.6747 2.3946 1.3579 -22.1504 -4.9925 -11.5309
224.1 0.7952 1.8706 1.9009 -37.8934 74.5903 0.6054
28.88 0.2771 2.0617 1.6896 86.8276 -92.6112 -14.6872
47.26 0.8659 2.3305 1.7049 -35.7116 73.4313 94.0828
7.678 0.2269 2.6065 1.7954 113.5787 69.1012 99.9460
0.3431 0.3967 1.3852 1.3576 -609.1331 -183.6157 -18.7288
4.373 0.9439 2.3818 1.3176 177.2680 -53.0028 -142.5383
8.526 0.6010 2.8676 1.7161 -46.4233 79.6696 -142.4971
32.01 0.7329 2.4383 1.5543 74.0700 18.2159 70.8079
2.826 0.1467 2.8543 1.7496 -165.6447 142.8062 42.7594
13.3 0.4823 2.4221 1.6836 -33.4539 -97.6382 45.8317
25.11 0.8767 2.3001 1.4186 8.2566 48.7012 7.4183
25.33 0.1800 1.9036 1.4177 20.2054 -8.8416 56.3268
1.107 0.3896 2.6465 1.4225 18.0053 314.6690 158.1835
19.78 0.8230 2.5892 1.3815 12.5920 0.1817 -23.4677
0.2782 0.7396 2.7345 1.3287 -328.9094 -153.1178 -118.3975
60.55 0.5905 1.9800 1.4536 51.3770 -0.4090 -6.1357
3.808 0.3766 2.5355 1.4310 -14.3322 60.5007 -58.8508
248.4 0.3584 2.2762 2.6661 -16.4545 -55.2760 21.8542
5.212 0.4061 2.8453 1.7214 -96.2361 32.6156 153.1100
94.82 0.7611 2.8725 1.9851 66.3678 -40.0485 -25.1954
1.387 0.3578 2.6831 1.4027 65.1772 17.3197 -34.0028
178.3 0.7629 2.1908 1.7255 -19.5556 -21.3947 29.5355
5.206 0.2498 2.4345 1.4445 23.6684 60.0901 55.4050
42.4 0.6555 2.1102 1.5426 -21.6091 13.4251 -98.1966
0.9474 0.8955 2.3352 1.3310 133.1840 141.1694 252.3300
12.13 0.4885 2.4065 1.4618 39.5531 -45.6407 -2.4131
19.39 0.4910 2.0636 1.5305 -24.3240 -11.2591 81.3034
0.1625 0.6064 1.4117 1.3571 279.3665 498.3359 299.6399
3.018 0.3105 2.0511 1.3787 30.5597 98.7117 -15.5677
1.975 0.2527 1.6198 1.3051 -26.9017 -19.8039 -44.9101
0.7511 0.8574 2.6950 1.4309 102.7872 -327.5306 4.1072
3.449 0.4549 2.9545 1.6635 -130.9381 -221.2301 -212.1404
17.67 0.6156 1.9677 1.5613 -58.2188 -54.2937 134.0020
0.1737 0.7295 1.4264 1.4188 -445.4576 -350.0563 32.0575
1.753 0.2630 2.7072 1.4335 67.2423 57.5032 47.2908
5.676 0.6121 1.9992 1.3805 128.9115 315.7401 110.8635
1.829 0.2509 2.7450 1.4328 -52.5942 -32.7275 -77.0314
3.524 0.4369 2.0076 1.3721 -78.3950 44.7862 -8.8528
10.76 0.9892 1.8276 1.4220 69.0098 -26.2871 -109.0299
2.118 0.7390 2.7318 1.3258 125.9268 72.8236 -234.7222
21.46 0.9867 1.7849 1.3472 316.1172 184.6721 -92.5002
43.04 0.3271 2.2661 1.7025 28.9132 -53.7427 -70.9619
1.179 0.1434 2.3051 1.3499 9.3304 37.0778 80.2061
144.8 0.8419 2.4510 1.7376 101.1236 -61.0218 5.6561
63.36 0.9014 1.8719 1.8049 -44.0456 -67.0229 -40.6922
0.3724 0.1100 1.6102 1.3154 40.9555 84.0750 -24.3859
57.65 0.3654 1.4438 1.3291 -4.8333 -53.9088 65.8298
19.55 0.9656 2.4448 1.4283 -55.5596 -188.8090 192.3601
0.2723 0.2284 1.3264 1.3121 -597.8090 -7.8645 335.9888
1 0.5200 2.3548 1.3662 53.4796 -5.4634 49.7461
15.33 0.3595 2.5007 1.8312 -107.2945 -65.2047 9.9169
0.5538 0.1418 2.6684 1.3263 30.5133 -37.5536 45.5171
0.2818 0.5092 1.3809 1.3457 143.1241 128.8156 -461.2296
13.51 0.7273 2.5231 1.7127 -121.2894 113.7896 -15.8888
96.28 0.6805 2.2087 1.6203 47.3855 63.0822 -68.8309
0.5601 0.1050 2.5782 1.3003 75.4331 2.1767 -1.4027
349 0.6075 1.9596 2.1952 32.3713 -101.4153 36.9433
137.2 0.9769 2.5162 1.4416 39.6644 -6.2730 23.9691
14.03 0.9935 2.0443 1.5073 76.5440 82.2447 -61.7238
15.39 0.9368 2.5286 1.4139 37.1828 80.0981 -83.0056
0.1393 0.0634 1.3847 1.3382 -152.7159 254.8280 60.6997
4182 0.9032 1.4963 2.1890 12.2389 24.3169 -24.0898
2.394 0.2250 1.9981 1.3724 -67.4298 -38.2417 -21.1447
44.35 0.9058 2.6632 1.6365 -62.2979 51.3123 -86.9496
63.5 0.7054 2.1170 1.5670 59.2638 -39.7306 0.0776
5.349 0.2280 2.4872 1.5061 -80.3127 -66.7805 21.2504
2.939 0.2368 2.0793 1.3688 46.3800 5.6838 -4.0151
230.1 0.8795 2.0651 1.5764 28.0050 10.8191 31.4649
0.5866 0.1459 2.4139 1.3674 -72.0144 -29.6589 -108.1249
188.2 0.7235 2.0833 1.6841 39.7669 34.3450 45.7701
7.811 0.1626 2.3876 1.5706 113.3168 -19.1526 -1.9545
1.128 0.2445 2.1563 1.3550 51.8132 -59.5717 1.5567
160 0.4411 1.7975 2.0380 -74.9377 48.5661 11.0256
0.2423 0.3997 2.7232 1.3319 -45.6406 -131.9274 -311.8505
129.1 0.8555 1.9564 1.4616 -28.6445 68.4407 6.4505
1.904 0.0629 2.5979 1.4217 22.7614 -70.2020 -59.9096
2.739 0.1417 2.0807 1.3740 53.4160 0.4256 33.1150
4.521 0.2812 2.4429 1.4447 -71.9867 8.6865 78.3455
45.2 0.3924 2.2191 1.5559 -26.9188 37.4826 -29.9152
0.3262 0.1282 2.8876 1.3343 35.2929 86.5677 96.4411
21.84 0.3551 2.6548 1.8274 -52.0858 30.0953 -104.3378
0.7302 0.3614 1.5758 1.5558 635.9589 342.0157 -178.2951
0.6999 0.4798 2.6115 1.3849 -55.7064 47.0522 -288.6527
4.984 0.4055 2.6473 1.3122 73.8865 -18.3092 26.1259
0.05664 0.3656 1.3560 1.3025 -324.2490 204.0086 952.8409
32.64 0.2758 2.7249 1.7063 65.4496 54.6583 53.6143
3.626 0.6874 1.6272 1.3138 -68.2666 -98.3344 40.3915
26.01 0.8609 2.9252 1.6660 -118.9783 242.4151 -45.6797
3.465 0.2840 2.4538 1.3371 20.4089 54.6286 -0.9532
19.15 0.6326 1.8647 1.5259 58.3468 -13.0492 75.8574
60.43 0.6936 1.8671 1.8814 71.4517 44.2035 38.9233
2.749 0.3624 1.6152 1.3106 58.9671 84.2504 7.1004
225.2 0.8669 1.7880 1.9131 44.4616 -54.4612 26.3198
0.697 0.4798 2.3447 1.3642 80.2146 139.5250 -151.1531
1.218 0.7372 2.6166 1.4179 -180.1038 121.0809 -136.4386
0.8475 0.1556 2.8256 1.3682 -58.0059 -38.8936 69.3104
1.381 0.2190 2.8653 1.3188 39.3443 35.7611 -25.7839
2.202 0.8970 2.0220 1.3791 -110.8938 193.1974 -164.2445
1.137 0.7141 2.5141 1.3982 143.1057 240.8259 37.9665
71.27 0.6867 2.6272 1.7400 -56.2977 8.4894 26.9237
2.62 0.8089 2.7266 1.4860 53.4791 192.5091 154.6597
8.224 0.1796 2.3230 1.4983 73.4106 73.0039 62.5297
105.9 0.6909 2.1935 1.8911 -9.4485 -54.8927 44.1242
22.25 0.0714 1.9592 1.4185 -51.0624 1.5502 -88.5734
16.35 0.8767 2.1373 1.6077 15.1009 131.7210 -9.8659
33.23 0.9017 2.7404 1.7507 -26.5927 144.9630 -16.0166
21.08 0.6734 2.7417 1.8761 2.1261 -117.3181 62.4939
4.454 0.5648 2.6078 1.4359 109.1836 -144.5609 -100.4359
8.111 0.5823 2.9613 1.8376 -137.5151 -113.0998 -47.2794
1.786 0.2484 2.0021 1.3709 -33.1879 91.8662 30.7749
2.661 0.2539 2.5123 1.3681 -105.8926 62.8873 -41.1787
18.06 0.4704 2.3341 1.3982 -84.6178 -47.1263 -38.8903
0.9157 0.2007 2.4842 1.3704 47.9984 35.8424 -44.0407
0.2974 0.1080 2.3610 1.3218 53.5173 52.1146 -49.5297
15.19 0.4784 1.8903 1.4038 -15.1891 112.3079 -17.0416
5.573 0.3217 2.6194 1.6764 154.6031 -23.7506 2.1187
1.251 0.2702 2.5799 1.4330 -89.6477 -48.5971 -112.1538
42.94 0.3645 2.0482 1.5189 38.2074 34.2853 10.8492
20.54 0.5708 2.2718 1.4955 -15.7629 -57.7872 46.1315
24.25 0.4880 2.1193 1.8400 -65.9470 55.0903 -73.7702
105.9 0.8122 2.1692 1.9057 -16.0993 100.1810 -36.5259
0.185 0.4263 1.4003 1.3711 90.9816 -413.4599 53.9991
21.19 0.1154 1.9539 1.4377 -62.2741 20.4140 12.4997
25.84 0.9481 1.9497 1.5000 133.7786 34.9022 82.4938
1.857 0.7087 1.7108 1.3495 181.2955 -41.6414 53.2141
1.478 0.9805 1.6477 1.3324 -183.6315 -206.9344 -183.1440
25.12 0.8647 2.1307 1.6336 92.2381 11.9528 100.5528
17.26 0.4764 2.7018 1.6851 50.5580 -71.5081 -54.7798
0.2322 0.4266 2.4748 1.3118 -139.1338 -89.3981 -201.7148
0.7137 0.3526 1.3762 1.3433 -34.8871 113.3498 381.2777
49.09 0.3275 2.1635 1.7451 61.2676 -33.9633 -31.0390
15.67 0.4428 2.4172 1.5432 25.1388 68.3966 96.8900
0.4951 0.2110 1.6460 1.3086 -111.6293 -22.9001 98.8195
35.65 0.8036 1.9843 1.5026 -5.7780 79.6319 66.9018
24.59 0.6058 2.0731 1.6523 -51.4204 88.6536 -24.1764
8.42 0.2600 2.7804 1.8251 168.8757 -125.4208 -56.3542
10.06 0.6906 2.8219 1.5873 31.1473 39.3258 57.7421
2.542 0.0306 1.7877 1.3736 -50.9998 38.3752 19.1805
80.98 0.4974 2.6212 1.8416 -32.2115 -34.8942 20.4727
12.29 0.1679 2.0338 1.4263 -30.3947 -39.0444 -89.7334
2.446 0.1095 1.8485 1.3154 -46.7764 59.4381 54.7017
0.09344 0.3762 1.5951 1.5430 -251.7523 -578.1096 911.3425
1.156 0.4833 1.3107 1.3016 80.5910 126.2012 -49.1835
0.7137 0.5808 1.9857 1.5764 -401.9993 0.0184 -85.4657
7.042 0.3771 2.7035 1.6828 -90.6537 -73.3190 -137.2708
14.44 0.9342 2.0100 1.4769 23.4932 -36.8854 124.9565
1.761 0.5846 1.6231 1.3969 72.1765 119.3379 -145.5745
0.8868 0.3184 2.8315 1.3456 -27.3837 -51.4461 90.4892
86.01 0.8756 1.9379 1.4389 -13.4759 28.5956 90.0774
0.768 0.1838 2.6971 1.3076 -22.3206 73.1271 1.1066
0.8099 0.2749 2.8493 1.3370 38.2248 48.7060 35.6438
0.845 0.0958 1.6238 1.3105 -35.1343 -16.5193 71.3734
716.1 0.9617 2.3863 1.4352 16.0629 -54.0876 -6.7894
37.99 0.0768 2.6868 1.7019 -38.1430 -21.1823 73.5358
47.1 0.8680 1.9964 1.4981 -41.2411 153.3497 38.3845
4.573 0.7080 2.3849 1.3665 222.6269 -338.6783 81.2220
39.87 0.7345 2.7234 1.7203 -48.7613 68.5105 67.3726
113 0.3095 2.3063 1.7208 18.6429 26.9602 50.0083
0.788 0.1843 2.2225 1.3561 -7.3352 79.1036 -68.9957
9.052 0.8426 2.7075 1.4321 -32.8588 -34.8077 1.4284
6.312 0.4168 2.2825 1.4269 46.0016 -48.7706 61.1097
9.854 0.3407 2.1753 1.4582 112.2600 21.8166 7.2799
2.521 0.2127 2.6100 1.4358 -48.7963 -46.2828 -29.5503
95.16 0.6254 1.6189 1.4595 20.2017 52.8536 -73.7531
9.4 0.3275 2.3017 1.4469 37.2889 2.9851 29.5437
0.4545 0.2547 2.3589 1.3644 17.0163 -210.5990 -29.3312
1.711 0.7041 2.2582 1.3791 -105.2185 185.9661 37.1009
0.5048 0.1547 1.6323 1.3857 84.4895 -129.0395 272.2631
28.32 0.2037 1.9376 1.4678 12.9518 -33.4198 -57.0682
1.851 0.2995 1.8530 1.3800 -52.2109 -197.1454 62.9821
1.611 0.1879 1.8719 1.3039 -125.9166 -84.9044 193.1938
10.37 0.3884 2.6080 1.8248 -10.3390 -121.6670 89.9105
21.38 0.6026 2.0231 1.4219 -23.9434 49.3806 -73.0193
61.11 0.6953 1.8891 1.8618 95.4729 31.2047 -13.9655
0.8766 0.1343 2.9029 1.3142 -45.3175 30.0828 3.9694
4.096 0.3338 2.6916 1.4775 -63.7282 -15.2879 64.6140
16.05 0.2855 1.9525 1.4421 23.1131 42.1266 109.2338
112.4 0.8258 1.9308 1.4604 7.4097 -56.5770 7.8444
2.001 0.0904 2.8076 1.4656 78.6509 49.5776 52.8507
21.27 0.3024 1.9162 1.4173 7.7147 51.8219 -36.4278
37.52 0.7080 2.0721 1.6144 -83.2841 32.0147 -60.7215
10.49 0.9471 2.1234 1.5159 -10.0166 49.4604 115.9370
26.05 0.7066 1.9659 1.5582 7.7461 -80.4058 -60.4921
15.33 0.4970 2.0096 1.4447 29.8625 -28.1675 -83.9946
2.75 0.3633 2.6626 1.4377 -35.8014 -45.0456 -100.4254
50.27 0.5618 1.9409 1.4308 45.3271 17.1101 57.0751
23.94 0.3005 2.0596 1.6675 9.6441 85.0226 4.6785
9.206 0.7757 2.6942 1.3093 -140.5082 6.8577 273.0845
4.551 0.5123 1.3089 1.3064 20.4433 -20.4535 69.9277
1.621 0.2026 1.6590 1.3296 100.7266 -42.2719 99.9653
7.406 0.4894 1.6183 1.3166 17.7968 9.9889 -16.6596
2.279 0.0192 1.6126 1.3633 95.6894 -120.1019 -91.7715
18.1 0.7880 2.0512 1.4618 46.9544 48.9111 -79.0340
2.946 0.3457 2.1303 1.3791 -34.5028 -10.1108 13.4023
0.6933 0.2609 1.7036 1.3712 111.6802 -624.7008 26.9536
0.4406 0.5539 1.5870 1.3261 -81.3196 -452.5308 50.9410
1.698 0.0233 2.7999 1.4501 13.8653 -83.1730 80.6684
182.6 0.4797 1.7251 1.8107 17.1390 -37.8333 -68.5524
0.9609 0.3059 2.6611 1.3869 41.8246 -14.2166 -66.1393
148.8 0.1373 2.3267 2.0457 -65.9272 15.6443 33.9464
0.1545 0.2792 2.0240 1.4145 -41.5738 -203.4157 205.8623
8.549 0.6063 2.8163 1.6643 30.0894 -15.9280 -61.8793
2.492 0.2551 1.6073 1.3095 -71.9841 61.2667 -74.8658
3535 0.8753 1.6952 1.5222 9.9993 19.3521 84.9626
1.866 0.9716 1.8382 1.3221 161.6122 104.8483 38.0825
16.93 0.7224 2.0559 1.5053 -86.7496 -32.0991 16.1020
2.087 0.3625 2.0213 1.3765 103.1514 -5.3971 17.1399
2.556 0.2552 2.5245 1.4217 41.3710 -69.1873 41.4522
1.74 0.8917 1.3825 1.3360 127.9525 189.1571 -165.5882
0.2053 0.1935 1.3037 1.3033 48.3951 198.1722 46.3113
13 0.4314 2.4632 1.6929 86.2581 -19.8278 71.2405
0.3369 0.1636 1.5478 1.3111 164.4483 -27.8562 -159.5324
1.136 0.2710 2.5929 1.3899 -69.1720 -46.9732 -46.9819
120.8 0.5067 1.8566 1.7454 26.6249 32.4931 15.9153
1.965 0.1372 1.9845 1.3687 36.2039 -39.2945 -62.3361
0.9065 0.4697 2.8976 1.4316 209.1705 -65.2876 101.5519
2.059 0.2852 2.2885 1.3039 -242.9029 125.6602 25.1130
1.61 0.6638 2.4568 1.3447 -183.1761 -25.7280 41.4045
0.2571 0.4452 1.3379 1.3187 156.3705 -252.1848 -110.5607
3.274 0.7215 2.7421 1.4232 118.6802 106.6012 100.5640
0.2964 0.2235 1.4172 1.3671 309.7604 -754.0626 371.2197
260 0.9640 2.1447 1.4463 -16.3525 63.8440 -52.4297
4.002 0.2186 2.5754 1.4528 -23.7546 -19.0577 77.1419
7.534 0.7430 2.2633 1.3078 -13.5863 -5.7958 -50.5227
210.5 0.7444 1.8462 2.2227 28.5795 43.9899 2.9938
7.59 0.5416 2.7544 1.6977 91.8864 -111.7363 -26.8856
0.7147 0.3177 2.7290 1.3663 -153.4326 28.1723 -30.7838
2.922 0.3772 2.6755 1.4362 -5.2030 80.8885 -71.6562
5.02 0.3279 2.5516 1.5668 -82.0450 -149.3338 -67.8450
8.652 0.7309 2.8092 1.5505 91.9046 -18.4723 38.2758
2.419 0.0804 2.7280 1.3808 72.9802 -26.4021 6.3353
31.41 0.2522 2.2201 1.6091 -6.5675 9.6448 -78.3744
35.64 0.4900 2.1942 1.6565 49.8382 57.5047 -20.5463
22.08 0.5609 1.9961 1.5106 -15.3841 -14.6272 -82.2697
0.159 0.2331 1.6117 1.3311 -53.5657 78.3109 322.4930
1.066 0.1713 1.6248 1.4183 -119.2952 -238.6575 -145.8573
1.26 0.7760 2.7445 1.4333 -160.6314 -73.4353 305.3256
353.3 0.8409 2.5564 1.6361 -55.9478 33.1389 22.7662
17.65 0.4803 1.9078 1.4170 -81.1333 -8.9416 -3.8718
1.905 0.0678 2.3672 1.3963 28.3521 48.7211 72.8660
0.8967 0.2002 2.5509 1.3224 -46.1976 85.5956 36.5683
13.77 0.0642 2.0817 1.4615 23.4301 26.3069 -81.9851
1.616 0.1988 2.7609 1.4323 33.3678 105.5659 -39.2040
0.1161 0.4516 2.0948 1.5757 91.6037 453.1452 262.7802
7.598 0.5111 2.7062 1.5115 57.2429 -30.6721 15.4347
